ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1011.6 ,1014.7 ,1014.2 ,2010-03-01 09:09 ,1009.8 ,2010-03-01 14:42 ,25.6 ,30.1 ,2010-03-01 13:01 ,21.9 ,2010-03-01 04:53 ,19.7 ,70 ,53 ,2010-03-01 13:26 ,2.0 ,260 ,7.3 ,260 ,2010-03-01 14:29 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.2 ,87.9 ,17.12 ,7.8 ,... ,7 ,2010-03-01 13:00 ,1.3 
02,1010.6 ,1013.7 ,1012.3 ,2010-03-02 08:26 ,1008.8 ,2010-03-02 14:59 ,25.9 ,30.8 ,2010-03-02 12:14 ,23.1 ,2010-03-02 23:57 ,20.4 ,72 ,54 ,2010-03-02 12:13 ,2.0 ,10 ,7.9 ,330 ,2010-03-02 12:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.9 ,33.5 ,12.74 ,7.0 ,... ,6 ,2010-03-02 12:00 ,5.5 
03,1010.9 ,1014.0 ,1012.3 ,2010-03-03 08:28 ,1009.3 ,2010-03-03 14:42 ,24.6 ,29.0 ,2010-03-03 11:40 ,22.0 ,2010-03-03 02:40 ,18.5 ,69 ,57 ,2010-03-03 12:47 ,2.3 ,60 ,8.2 ,50 ,2010-03-03 01:05 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.5 ,47.2 ,14.74 ,5.8 ,... ,6 ,2010-03-03 13:00 ,7.8 
04,1010.2 ,1013.3 ,1011.8 ,2010-03-04 10:03 ,1008.3 ,2010-03-04 15:23 ,26.2 ,30.6 ,2010-03-04 12:25 ,22.5 ,2010-03-04 00:35 ,20.4 ,71 ,56 ,2010-03-04 11:02 ,2.7 ,220 ,11.1 ,220 ,2010-03-04 14:07 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.3 ,88.2 ,17.23 ,10.8 ,... ,7 ,2010-03-04 13:00 ,3.3 
05,1010.5 ,1013.6 ,1011.8 ,2010-03-05 09:29 ,1009.2 ,2010-03-05 15:12 ,26.1 ,29.3 ,2010-03-05 14:03 ,23.1 ,2010-03-05 06:38 ,20.9 ,73 ,59 ,2010-03-05 09:36 ,2.4 ,250 ,10.5 ,250 ,2010-03-05 14:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.8 ,75.2 ,17.16 ,11.4 ,... ,6 ,2010-03-05 13:00 ,3.6 
06,1011.6 ,1014.7 ,1013.2 ,2010-03-06 10:02 ,1010.0 ,2010-03-06 16:00 ,26.8 ,32.4 ,2010-03-06 12:45 ,23.5 ,2010-03-06 23:50 ,19.9 ,67 ,44 ,2010-03-06 12:44 ,1.8 ,270 ,6.9 ,90 ,2010-03-06 23:49 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.7 ,91.3 ,18.91 ,11.0 ,... ,7 ,2010-03-06 13:00 ,2.1 
07,1013.3 ,1016.4 ,1014.8 ,2010-03-07 22:45 ,1011.3 ,2010-03-07 14:25 ,23.1 ,28.8 ,2010-03-07 14:21 ,18.0 ,2010-03-07 23:44 ,16.5 ,67 ,52 ,2010-03-07 14:20 ,4.1 ,40 ,10.1 ,70 ,2010-03-07 02:32 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.1 ,77.5 ,16.88 ,5.0 ,... ,6 ,2010-03-07 13:00 ,3.1 
08,1013.8 ,1017.0 ,1015.5 ,2010-03-08 08:35 ,1011.3 ,2010-03-08 15:33 ,21.4 ,27.4 ,2010-03-08 12:13 ,17.0 ,2010-03-08 05:12 ,14.4 ,65 ,53 ,2010-03-08 11:02 ,4.0 ,70 ,9.4 ,10 ,2010-03-08 17:34 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.6 ,56.1 ,14.41 ,6.8 ,... ,5 ,2010-03-08 12:00 ,4.9 
09,1017.2 ,1020.4 ,1021.8 ,2010-03-09 23:49 ,1012.7 ,2010-03-09 03:42 ,15.9 ,20.0 ,2010-03-09 00:59 ,12.9 ,2010-03-09 20:28 ,9.7 ,67 ,57 ,2010-03-09 19:26 ,7.9 ,50 ,20.8 ,30 ,2010-03-09 18:53 ,0.3 ,0.5 ,0.3 ,2010-03-09 13:20 ,0.3 ,2010-03-09 13:10 ,0.2 ,1.7 ,6.11 ,9.8 ,... ,3 ,2010-03-09 12:00 ,9.8 
10,1021.6 ,1024.9 ,1023.2 ,2010-03-10 09:33 ,1020.0 ,2010-03-10 14:29 ,13.7 ,18.3 ,2010-03-10 14:12 ,11.2 ,2010-03-10 07:24 ,4.3 ,53 ,44 ,2010-03-10 13:47 ,5.9 ,60 ,20.4 ,80 ,2010-03-10 00:03 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.4 ,28.8 ,15.64 ,5.8 ,... ,7 ,2010-03-10 13:00 ,5.6 
