ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1006.9 ,1008.0 ,1012.0 ,2019-05-01 22:25 ,1004.2 ,2019-05-01 03:05 ,25.6 ,30.7 ,2019-05-01 09:44 ,22.3 ,2019-05-01 23:44 ,22.2 ,82 ,70 ,2019-05-01 01:27 ,2.4 ,40 ,13.3 ,30 ,2019-05-01 12:59 ,3.0 ,4.6 ,1.0 ,2019-05-01 03:55 ,1.5 ,2019-05-01 03:33 ,1.2 ,9.3 ,9.47 ,15.4 ,-2.4 ,6 ,2019-05-01 10:00 ,9.0 
02,1012.5 ,1013.6 ,1014.4 ,2019-05-02 21:42 ,1010.2 ,2019-05-02 02:18 ,22.2 ,25.4 ,2019-05-02 13:16 ,20.3 ,2019-05-02 21:23 ,17.6 ,76 ,60 ,2019-05-02 12:57 ,1.3 ,340 ,7.3 ,10 ,2019-05-02 10:04 ,4.2 ,9.3 ,1.0 ,2019-05-02 19:28 ,1.5 ,2019-05-02 19:09 ,0.0 ,0.0 ,4.53 ,18.1 ,-0.8 ,3 ,2019-05-02 14:00 ,10.0 
03,1014.0 ,1015.1 ,1016.0 ,2019-05-03 21:39 ,1011.5 ,2019-05-03 03:29 ,22.1 ,25.6 ,2019-05-03 11:17 ,20.1 ,2019-05-03 00:36 ,17.3 ,75 ,61 ,2019-05-03 13:59 ,1.4 ,340 ,7.8 ,40 ,2019-05-03 13:11 ,0.7 ,2.7 ,0.3 ,2019-05-03 00:01 ,0.5 ,2019-05-03 00:01 ,0.0 ,0.0 ,5.70 ,17.9 ,-1.6 ,5 ,2019-05-03 11:00 ,10.0 
04,1013.7 ,1014.8 ,1015.5 ,2019-05-04 08:36 ,1011.5 ,2019-05-04 15:29 ,23.0 ,27.3 ,2019-05-04 14:23 ,19.6 ,2019-05-04 05:17 ,18.1 ,74 ,59 ,2019-05-04 12:19 ,1.5 ,340 ,6.8 ,30 ,2019-05-04 15:37 ,1.1 ,5.0 ,0.4 ,2019-05-04 22:40 ,0.5 ,2019-05-04 21:49 ,0.7 ,5.4 ,9.69 ,16.0 ,-3.0 ,6 ,2019-05-04 15:00 ,9.6 
05,1011.1 ,1012.2 ,1013.6 ,2019-05-05 00:05 ,1008.3 ,2019-05-05 15:18 ,23.7 ,27.4 ,2019-05-05 11:29 ,21.2 ,2019-05-05 00:05 ,19.2 ,77 ,60 ,2019-05-05 11:36 ,1.4 ,40 ,7.6 ,360 ,2019-05-05 06:48 ,5.3 ,7.8 ,1.0 ,2019-05-05 19:55 ,3.0 ,2019-05-05 19:42 ,0.2 ,1.5 ,9.07 ,18.9 ,-0.9 ,8 ,2019-05-05 12:00 ,9.9 
06,1009.7 ,1010.8 ,1011.1 ,2019-05-06 00:01 ,1008.4 ,2019-05-06 16:10 ,21.9 ,23.4 ,2019-05-06 14:17 ,20.2 ,2019-05-06 23:43 ,20.0 ,89 ,84 ,2019-05-06 12:05 ,1.2 ,340 ,7.2 ,10 ,2019-05-06 15:04 ,23.8 ,18.3 ,2.0 ,2019-05-06 16:19 ,4.0 ,2019-05-06 20:04 ,0.0 ,0.0 ,5.59 ,10.9 ,/ ,4 ,2019-05-06 14:00 ,10.0 
07,1009.7 ,1010.8 ,1012.1 ,2019-05-07 22:40 ,1007.9 ,2019-05-07 03:30 ,22.8 ,26.6 ,2019-05-07 12:11 ,20.2 ,2019-05-07 00:03 ,18.3 ,76 ,67 ,2019-05-07 12:02 ,1.8 ,340 ,11.9 ,10 ,2019-05-07 12:48 ,T ,0.6 ,T ,2019-05-07 06:05 ,T ,2019-05-07 06:05 ,0.3 ,2.3 ,11.20 ,20.0 ,-2.9 ,9 ,2019-05-07 12:00 ,9.7 
08,1008.5 ,1009.6 ,1011.2 ,2019-05-08 00:01 ,1006.0 ,2019-05-08 16:14 ,24.2 ,26.9 ,2019-05-08 12:16 ,21.0 ,2019-05-08 00:49 ,18.9 ,73 ,64 ,2019-05-08 09:54 ,1.1 ,330 ,5.4 ,80 ,2019-05-08 12:52 ,T ,0.1 ,T ,2019-05-08 00:45 ,T ,2019-05-08 00:45 ,0.0 ,0.0 ,7.83 ,25.0 ,-2.6 ,6 ,2019-05-08 13:00 ,9.9 
09,1007.3 ,1008.4 ,1008.8 ,2019-05-09 21:57 ,1005.4 ,2019-05-09 14:35 ,25.7 ,30.0 ,2019-05-09 13:02 ,23.5 ,2019-05-09 04:09 ,21.5 ,78 ,60 ,2019-05-09 13:05 ,1.1 ,50 ,5.8 ,120 ,2019-05-09 13:32 ,0.2 ,1.6 ,0.1 ,2019-05-09 23:35 ,0.2 ,2019-05-09 23:15 ,2.1 ,16.1 ,15.33 ,18.6 ,-2.6 ,13 ,2019-05-09 13:00 ,9.3 
10,1008.7 ,1009.8 ,1010.7 ,2019-05-10 22:49 ,1007.2 ,2019-05-10 03:10 ,24.8 ,27.5 ,2019-05-10 13:28 ,23.3 ,2019-05-10 00:33 ,21.9 ,84 ,75 ,2019-05-10 13:38 ,1.2 ,350 ,8.3 ,10 ,2019-05-10 15:12 ,1.2 ,3.9 ,0.3 ,2019-05-10 08:47 ,0.6 ,2019-05-10 08:08 ,0.1 ,0.8 ,6.09 ,22.5 ,-1.7 ,6 ,2019-05-10 14:00 ,9.9 
