ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1000.3 ,1002.4 ,1001.4 ,2015-07-01 00:01 ,998.8 ,2015-07-01 15:29 ,29.8 ,33.7 ,2015-07-01 13:55 ,26.1 ,2015-07-01 05:19 ,25.2 ,76 ,66 ,2015-07-01 08:32 ,2.7 ,80 ,6.3 ,90 ,2015-07-01 13:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.7 ,86.3 ,21.81 ,15.3 ,4.0 ,11 ,2015-07-01 13:00 ,5.3 
02,1000.7 ,1002.8 ,1002.7 ,2015-07-02 22:11 ,999.6 ,2015-07-02 03:35 ,30.2 ,33.8 ,2015-07-02 12:42 ,26.5 ,2015-07-02 05:36 ,24.7 ,73 ,60 ,2015-07-02 08:13 ,2.6 ,70 ,7.5 ,80 ,2015-07-02 12:49 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.2 ,82.7 ,23.07 ,16.6 ,7.3 ,10 ,2015-07-02 12:00 ,3.5 
03,1001.7 ,1003.9 ,1003.7 ,2015-07-03 22:33 ,1000.6 ,2015-07-03 04:01 ,30.0 ,33.3 ,2015-07-03 13:42 ,27.2 ,2015-07-03 05:54 ,25.7 ,78 ,66 ,2015-07-03 02:06 ,2.9 ,240 ,9.4 ,170 ,2015-07-03 11:00 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.8 ,65.0 ,19.93 ,11.9 ,5.7 ,10 ,2015-07-03 12:00 ,4.5 
04,1001.9 ,1004.1 ,1003.6 ,2015-07-04 22:04 ,1000.4 ,2015-07-04 16:14 ,30.0 ,33.1 ,2015-07-04 13:55 ,27.1 ,2015-07-04 05:21 ,25.2 ,76 ,65 ,2015-07-04 13:58 ,2.1 ,150 ,6.3 ,160 ,2015-07-04 10:42 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.6 ,78.3 ,21.49 ,14.9 ,6.0 ,11 ,2015-07-04 13:00 ,4.6 
05,1001.2 ,1003.4 ,1002.8 ,2015-07-05 00:02 ,999.5 ,2015-07-05 15:49 ,29.7 ,33.5 ,2015-07-05 10:57 ,26.3 ,2015-07-05 04:44 ,24.8 ,75 ,62 ,2015-07-05 10:00 ,1.9 ,150 ,5.0 ,110 ,2015-07-05 10:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.8 ,65.1 ,21.93 ,13.5 ,-4.9 ,12 ,2015-07-05 13:00 ,4.5 
06,998.7 ,1000.9 ,1000.5 ,2015-07-06 00:49 ,996.4 ,2015-07-06 16:37 ,29.0 ,31.4 ,2015-07-06 09:39 ,26.8 ,2015-07-06 06:21 ,25.4 ,81 ,72 ,2015-07-06 18:59 ,3.2 ,170 ,9.6 ,170 ,2015-07-06 14:45 ,2.0 ,1.3 ,1.0 ,2015-07-06 04:30 ,1.0 ,2015-07-06 04:30 ,2.9 ,21.4 ,11.31 ,13.8 ,4.1 ,7 ,2015-07-06 10:00 ,7.4 
07,998.5 ,1000.7 ,1000.6 ,2015-07-07 22:52 ,997.1 ,2015-07-07 02:20 ,29.6 ,32.7 ,2015-07-07 13:56 ,26.3 ,2015-07-07 04:40 ,24.8 ,76 ,60 ,2015-07-07 20:38 ,4.6 ,170 ,12.4 ,170 ,2015-07-07 14:21 ,T ,0.3 ,T ,2015-07-07 23:45 ,T ,2015-07-07 23:45 ,11.0 ,81.4 ,23.93 ,15.3 ,-6.0 ,12 ,2015-07-07 12:00 ,3.8 
08,999.9 ,1002.1 ,1001.4 ,2015-07-08 21:28 ,998.4 ,2015-07-08 03:12 ,27.2 ,31.5 ,2015-07-08 11:08 ,24.6 ,2015-07-08 04:43 ,24.1 ,84 ,66 ,2015-07-08 13:35 ,3.7 ,230 ,15.4 ,220 ,2015-07-08 03:55 ,4.5 ,3.2 ,1.0 ,2015-07-08 04:05 ,2.5 ,2015-07-08 18:05 ,1.4 ,10.4 ,9.31 ,11.8 ,-2.3 ,9 ,2015-07-08 11:00 ,8.4 
09,996.9 ,999.1 ,1000.1 ,2015-07-09 00:03 ,993.2 ,2015-07-09 23:54 ,29.3 ,33.3 ,2015-07-09 11:49 ,25.4 ,2015-07-09 03:42 ,24.6 ,76 ,63 ,2015-07-09 08:46 ,4.2 ,30 ,15.8 ,40 ,2015-07-09 15:16 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.6 ,71.1 ,20.38 ,14.3 ,-6.6 ,11 ,2015-07-09 12:00 ,3.6 
10,990.3 ,992.4 ,993.4 ,2015-07-10 00:01 ,988.0 ,2015-07-10 16:10 ,28.9 ,31.8 ,2015-07-10 11:44 ,27.1 ,2015-07-10 03:39 ,25.3 ,81 ,70 ,2015-07-10 15:19 ,2.0 ,240 ,7.6 ,220 ,2015-07-10 00:20 ,T ,1.5 ,T ,2015-07-10 04:45 ,T ,2015-07-10 04:45 ,1.9 ,14.1 ,11.87 ,12.0 ,-2.5 ,11 ,2015-07-10 12:00 ,9.4 
11,991.1 ,993.3 ,996.1 ,2015-07-11 22:30 ,986.9 ,2015-07-11 03:10 ,30.1 ,33.6 ,2015-07-11 15:06 ,27.7 ,2015-07-11 05:07 ,25.2 ,75 ,58 ,2015-07-11 15:06 ,2.3 ,240 ,7.5 ,250 ,2015-07-11 02:08 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.6 ,34.1 ,14.13 ,11.9 ,3.7 ,8 ,2015-07-11 12:00 ,8.0 
12,997.7 ,999.8 ,1001.0 ,2015-07-12 22:15 ,995.0 ,2015-07-12 01:40 ,30.2 ,33.7 ,2015-07-12 12:33 ,26.3 ,2015-07-12 03:39 ,25.3 ,75 ,64 ,2015-07-12 08:26 ,2.8 ,30 ,8.2 ,20 ,2015-07-12 17:19 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.8 ,87.6 ,22.63 ,12.1 ,5.0 ,11 ,2015-07-12 12:00 ,3.9 
13,1000.8 ,1003.0 ,1002.6 ,2015-07-13 21:23 ,999.1 ,2015-07-13 01:23 ,29.0 ,33.5 ,2015-07-13 10:10 ,25.2 ,2015-07-13 20:22 ,25.3 ,81 ,66 ,2015-07-13 10:08 ,2.7 ,240 ,8.1 ,250 ,2015-07-13 23:48 ,3.0 ,4.3 ,1.0 ,2015-07-13 15:27 ,1.5 ,2015-07-13 14:35 ,5.7 ,42.4 ,15.31 ,11.4 ,-4.3 ,10 ,2015-07-13 13:00 ,6.8 
14,1000.8 ,1002.9 ,1002.0 ,2015-07-14 10:19 ,999.1 ,2015-07-14 04:25 ,28.6 ,32.4 ,2015-07-14 13:33 ,24.7 ,2015-07-14 05:46 ,23.3 ,74 ,61 ,2015-07-14 09:12 ,2.4 ,80 ,8.8 ,240 ,2015-07-14 01:59 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.9 ,73.6 ,21.91 ,15.6 ,6.4 ,10 ,2015-07-14 12:00 ,2.1 
15,1000.7 ,1002.9 ,1001.6 ,2015-07-15 00:01 ,999.5 ,2015-07-15 15:59 ,28.9 ,32.6 ,2015-07-15 11:54 ,25.7 ,2015-07-15 04:32 ,23.6 ,74 ,62 ,2015-07-15 12:41 ,2.3 ,130 ,5.6 ,120 ,2015-07-15 11:00 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.2 ,61.0 ,18.74 ,12.8 ,5.8 ,10 ,2015-07-15 12:00 ,5.0 
16,999.2 ,1001.4 ,1000.8 ,2015-07-16 00:17 ,997.7 ,2015-07-16 16:31 ,29.2 ,33.2 ,2015-07-16 12:54 ,25.6 ,2015-07-16 04:50 ,24.0 ,74 ,64 ,2015-07-16 19:21 ,2.2 ,230 ,5.6 ,130 ,2015-07-16 11:29 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.0 ,74.5 ,21.55 ,12.8 ,5.7 ,10 ,2015-07-16 12:00 ,7.1 
