ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1012.9 ,1016.0 ,1015.5 ,2014-02-01 00:02 ,1010.9 ,2014-02-01 14:48 ,20.7 ,24.5 ,2014-02-01 14:28 ,16.4 ,2014-02-01 06:25 ,14.9 ,70 ,54 ,2014-02-01 12:06 ,2.3 ,250 ,9.4 ,190 ,2014-02-01 00:05 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.8 ,89.3 ,16.85 ,15.7 ,4.2 ,... ,... ,2.7 
02,1007.8 ,1010.8 ,1011.2 ,2014-02-02 00:01 ,1005.3 ,2014-02-02 15:36 ,21.1 ,23.7 ,2014-02-02 13:29 ,18.5 ,2014-02-02 06:19 ,17.4 ,80 ,69 ,2014-02-02 08:30 ,1.3 ,250 ,5.2 ,240 ,2014-02-02 03:48 ,0.1 ,1.2 ,0.1 ,2014-02-02 19:38 ,0.1 ,2014-02-02 18:50 ,0.0 ,0.0 ,7.98 ,12.0 ,-1.1 ,... ,... ,8.5 
03,1007.6 ,1010.6 ,1012.4 ,2014-02-03 23:45 ,1004.4 ,2014-02-03 04:35 ,20.7 ,23.5 ,2014-02-03 10:51 ,18.8 ,2014-02-03 23:36 ,17.2 ,81 ,70 ,2014-02-03 20:38 ,2.0 ,20 ,12.6 ,30 ,2014-02-03 23:57 ,0.8 ,2.5 ,0.5 ,2014-02-03 21:17 ,0.7 ,2014-02-03 21:17 ,0.9 ,8.2 ,7.49 ,13.3 ,-0.9 ,... ,... ,7.7 
04,1015.4 ,1018.5 ,1017.4 ,2014-02-04 09:11 ,1012.1 ,2014-02-04 00:01 ,15.6 ,19.2 ,2014-02-04 00:19 ,14.7 ,2014-02-04 22:55 ,13.8 ,89 ,78 ,2014-02-04 00:39 ,2.9 ,360 ,16.4 ,40 ,2014-02-04 01:32 ,77.5 ,23.3 ,3.5 ,2014-02-04 21:41 ,13.1 ,2014-02-04 20:53 ,0.0 ,0.0 ,0.00 ,2.2 ,/ ,... ,... ,10.0 
05,1013.2 ,1016.2 ,1016.4 ,2014-02-05 09:18 ,1010.5 ,2014-02-05 23:59 ,17.8 ,20.7 ,2014-02-05 22:13 ,14.7 ,2014-02-05 00:15 ,15.8 ,88 ,75 ,2014-02-05 22:13 ,3.0 ,150 ,10.8 ,300 ,2014-02-05 03:31 ,28.4 ,13.6 ,3.7 ,2014-02-05 09:12 ,6.9 ,2014-02-05 08:45 ,0.0 ,0.0 ,3.74 ,6.9 ,-1.7 ,... ,... ,9.5 
06,1008.4 ,1011.4 ,1010.7 ,2014-02-06 00:13 ,1006.5 ,2014-02-06 14:34 ,20.5 ,23.9 ,2014-02-06 13:56 ,17.1 ,2014-02-06 05:16 ,17.4 ,83 ,69 ,2014-02-06 09:28 ,1.8 ,260 ,7.3 ,80 ,2014-02-06 23:05 ,0.1 ,0.2 ,0.1 ,2014-02-06 23:50 ,0.1 ,2014-02-06 23:50 ,3.7 ,33.4 ,12.17 ,10.7 ,-2.6 ,... ,... ,5.7 
07,1007.1 ,1010.1 ,1009.0 ,2014-02-07 08:59 ,1005.3 ,2014-02-07 15:05 ,19.2 ,20.0 ,2014-02-07 00:09 ,18.3 ,2014-02-07 23:35 ,17.0 ,88 ,82 ,2014-02-07 17:26 ,1.2 ,50 ,8.6 ,50 ,2014-02-07 08:43 ,0.1 ,1.2 ,0.1 ,2014-02-07 00:01 ,0.1 ,2014-02-07 00:01 ,0.0 ,0.0 ,1.15 ,9.3 ,-0.6 ,... ,... ,9.7 
08,1011.1 ,1014.2 ,1013.4 ,2014-02-08 09:05 ,1007.0 ,2014-02-08 00:16 ,15.8 ,18.9 ,2014-02-08 00:55 ,14.2 ,2014-02-08 18:22 ,13.0 ,84 ,77 ,2014-02-08 13:41 ,3.4 ,70 ,16.9 ,70 ,2014-02-08 05:32 ,8.3 ,11.5 ,0.7 ,2014-02-08 23:37 ,2.3 ,2014-02-08 23:01 ,0.0 ,0.0 ,2.35 ,7.8 ,-0.8 ,... ,... ,10.0 
09,1011.8 ,1014.9 ,1014.2 ,2014-02-09 23:18 ,1009.4 ,2014-02-09 13:25 ,14.7 ,15.9 ,2014-02-09 10:19 ,13.0 ,2014-02-09 23:28 ,12.9 ,89 ,85 ,2014-02-09 06:08 ,3.3 ,290 ,11.4 ,300 ,2014-02-09 00:56 ,61.3 ,24.0 ,2.0 ,2014-02-09 11:14 ,7.7 ,2014-02-09 11:11 ,0.0 ,0.0 ,1.12 ,2.8 ,-2.3 ,... ,... ,10.0 
10,1016.4 ,1019.5 ,1018.4 ,2014-02-10 09:29 ,1013.7 ,2014-02-10 00:01 ,11.8 ,13.2 ,2014-02-10 00:08 ,11.0 ,2014-02-10 22:55 ,7.8 ,77 ,67 ,2014-02-10 18:54 ,2.2 ,280 ,14.4 ,360 ,2014-02-10 14:38 ,5.1 ,9.5 ,0.6 ,2014-02-10 01:50 ,1.5 ,2014-02-10 01:27 ,0.0 ,0.0 ,1.78 ,16.7 ,-1.0 ,... ,... ,10.0 
11,1016.3 ,1019.4 ,1018.0 ,2014-02-11 08:41 ,1014.5 ,2014-02-11 14:19 ,10.9 ,12.0 ,2014-02-11 21:35 ,9.8 ,2014-02-11 03:05 ,5.9 ,71 ,65 ,2014-02-11 21:42 ,3.2 ,270 ,10.6 ,330 ,2014-02-11 15:05 ,0.9 ,8.6 ,0.2 ,2014-02-11 22:01 ,0.4 ,2014-02-11 21:46 ,0.0 ,0.0 ,3.45 ,17.5 ,-1.2 ,... ,... ,10.0 
12,1015.0 ,1018.1 ,1016.8 ,2014-02-12 10:10 ,1013.2 ,2014-02-12 14:02 ,14.3 ,16.5 ,2014-02-12 18:35 ,11.5 ,2014-02-12 00:01 ,9.6 ,73 ,65 ,2014-02-12 08:17 ,3.8 ,290 ,11.1 ,280 ,2014-02-12 02:41 ,5.8 ,9.3 ,0.7 ,2014-02-12 22:54 ,2.3 ,2014-02-12 22:54 ,0.0 ,0.0 ,2.36 ,19.2 ,-0.4 ,... ,... ,9.8 
13,1015.5 ,1018.6 ,1017.7 ,2014-02-13 21:43 ,1012.8 ,2014-02-13 04:54 ,15.4 ,17.2 ,2014-02-13 05:22 ,13.6 ,2014-02-13 22:30 ,12.6 ,83 ,77 ,2014-02-13 02:44 ,3.4 ,310 ,15.2 ,20 ,2014-02-13 13:52 ,15.1 ,20.6 ,1.6 ,2014-02-13 03:55 ,4.0 ,2014-02-13 06:54 ,0.0 ,0.0 ,3.50 ,9.5 ,-0.9 ,... ,... ,9.8 
14,1017.8 ,1020.9 ,1019.5 ,2014-02-14 22:46 ,1016.0 ,2014-02-14 03:45 ,13.7 ,15.5 ,2014-02-14 12:07 ,12.1 ,2014-02-14 23:35 ,10.3 ,80 ,67 ,2014-02-14 12:22 ,2.7 ,250 ,12.7 ,10 ,2014-02-14 15:53 ,14.2 ,13.7 ,1.2 ,2014-02-14 22:52 ,4.4 ,2014-02-14 22:50 ,0.0 ,0.0 ,2.25 ,14.5 ,-0.8 ,... ,... ,10.0 
15,1019.0 ,1022.1 ,1020.5 ,2014-02-15 09:47 ,1017.7 ,2014-02-15 14:19 ,13.2 ,14.8 ,2014-02-15 14:15 ,11.4 ,2014-02-15 04:27 ,11.4 ,89 ,83 ,2014-02-15 07:26 ,2.3 ,260 ,9.0 ,250 ,2014-02-15 00:26 ,10.2 ,12.1 ,0.8 ,2014-02-15 00:30 ,2.5 ,2014-02-15 00:16 ,0.0 ,0.0 ,2.17 ,8.7 ,-0.2 ,... ,... ,10.0 
16,1017.1 ,1020.2 ,1019.2 ,2014-02-16 00:04 ,1015.6 ,2014-02-16 16:11 ,17.3 ,19.6 ,2014-02-16 11:58 ,14.3 ,2014-02-16 00:04 ,13.7 ,79 ,66 ,2014-02-16 12:14 ,2.2 ,250 ,11.3 ,240 ,2014-02-16 02:14 ,2.1 ,3.8 ,0.5 ,2014-02-16 06:18 ,1.2 ,2014-02-16 06:18 ,0.1 ,0.9 ,3.07 ,12.5 ,-0.5 ,... ,... ,9.0 
17,1015.5 ,1018.5 ,1017.9 ,2014-02-17 08:11 ,1013.0 ,2014-02-17 15:03 ,19.4 ,24.8 ,2014-02-17 14:11 ,14.3 ,2014-02-17 04:41 ,15.4 ,79 ,63 ,2014-02-17 13:56 ,2.1 ,260 ,11.0 ,150 ,2014-02-17 10:32 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.0 ,61.9 ,16.24 ,18.3 ,-2.5 ,... ,... ,3.5 
18,1012.3 ,1015.4 ,1014.5 ,2014-02-18 00:01 ,1009.5 ,2014-02-18 15:30 ,18.7 ,21.6 ,2014-02-18 13:30 ,16.3 ,2014-02-18 22:02 ,15.6 ,83 ,70 ,2014-02-18 23:17 ,1.7 ,310 ,16.3 ,80 ,2014-02-18 23:48 ,T ,0.4 ,T ,2014-02-18 08:55 ,T ,2014-02-18 08:55 ,0.2 ,1.8 ,1.96 ,10.3 ,-2.3 ,... ,... ,8.5 
19,1016.4 ,1019.5 ,1020.6 ,2014-02-19 23:05 ,1012.9 ,2014-02-19 02:19 ,13.8 ,16.3 ,2014-02-19 00:01 ,12.2 ,2014-02-19 19:09 ,10.1 ,78 ,71 ,2014-02-19 01:10 ,2.4 ,300 ,14.4 ,360 ,2014-02-19 03:00 ,10.7 ,12.8 ,0.9 ,2014-02-19 04:50 ,2.3 ,2014-02-19 13:50 ,0.0 ,0.0 ,1.13 ,7.2 ,-1.4 ,... ,... ,10.0 
20,1023.3 ,1026.4 ,1026.2 ,2014-02-20 22:11 ,1019.1 ,2014-02-20 01:14 ,12.8 ,14.2 ,2014-02-20 11:33 ,11.3 ,2014-02-20 23:05 ,4.9 ,59 ,49 ,2014-02-20 14:00 ,3.4 ,20 ,16.9 ,300 ,2014-02-20 01:42 ,0.1 ,1.2 ,0.1 ,2014-02-20 00:17 ,0.1 ,2014-02-20 00:01 ,6.4 ,56.3 ,15.36 ,12.2 ,3.8 ,... ,... ,6.2 
21,1023.4 ,1026.5 ,1025.8 ,2014-02-21 09:09 ,1021.6 ,2014-02-21 15:34 ,14.6 ,19.2 ,2014-02-21 14:40 ,11.3 ,2014-02-21 00:28 ,7.5 ,63 ,50 ,2014-02-21 11:46 ,2.4 ,250 ,13.1 ,280 ,2014-02-21 00:11 ,T ,0.5 ,T ,2014-02-21 19:15 ,T ,2014-02-21 19:15 ,4.6 ,40.4 ,11.60 ,11.8 ,-2.2 ,... ,... ,7.5 
22,1020.9 ,1024.0 ,1022.2 ,2014-02-22 00:05 ,1019.1 ,2014-02-22 15:16 ,16.0 ,20.7 ,2014-02-22 12:08 ,13.8 ,2014-02-22 01:34 ,13.0 ,83 ,60 ,2014-02-22 12:18 ,2.0 ,260 ,10.2 ,120 ,2014-02-22 12:42 ,44.3 ,11.8 ,11.0 ,2014-02-22 16:44 ,17.7 ,2014-02-22 16:08 ,4.1 ,35.9 ,11.03 ,12.7 ,-3.6 ,... ,... ,8.2 
23,1020.6 ,1023.7 ,1021.6 ,2014-02-23 06:11 ,1019.2 ,2014-02-23 15:41 ,17.0 ,20.0 ,2014-02-23 10:13 ,14.6 ,2014-02-23 04:43 ,13.3 ,80 ,61 ,2014-02-23 16:13 ,1.7 ,250 ,12.6 ,230 ,2014-02-23 14:24 ,1.6 ,3.6 ,0.4 ,2014-02-23 02:47 ,0.7 ,2014-02-23 02:28 ,0.0 ,0.0 ,4.65 ,17.3 ,-1.1 ,... ,... ,9.3 
24,1018.5 ,1021.5 ,1020.7 ,2014-02-24 08:45 ,1016.1 ,2014-02-24 15:42 ,19.7 ,22.6 ,2014-02-24 14:32 ,14.1 ,2014-02-24 03:57 ,13.5 ,68 ,56 ,2014-02-24 13:46 ,3.4 ,170 ,15.9 ,160 ,2014-02-24 11:51 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.9 ,77.7 ,18.65 ,21.2 ,5.2 ,... ,... ,4.8 
25,1016.8 ,1019.8 ,1018.9 ,2014-02-25 08:16 ,1014.3 ,2014-02-25 15:19 ,19.9 ,23.2 ,2014-02-25 14:40 ,15.8 ,2014-02-25 06:50 ,15.4 ,76 ,63 ,2014-02-25 09:55 ,2.4 ,150 ,10.3 ,170 ,2014-02-25 11:36 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.0 ,52.3 ,14.29 ,18.5 ,-3.3 ,... ,... ,6.2 
