ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1011.9 ,1016.2 ,1015.7 ,2020-03-01 23:48 ,1009.6 ,2020-03-01 04:09 ,18.8 ,23.7 ,2020-03-01 15:26 ,16.4 ,2020-03-01 23:35 ,16.0 ,84 ,71 ,2020-03-01 15:07 ,2.9 ,70 ,13.5 ,70 ,2020-03-01 22:34 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.2 ,27.6 ,10.13 ,4.7 ,2.8 ,4 ,2020-03-01 11:00 ,5.3 
02,1017.5 ,1021.9 ,1020.4 ,2020-03-02 22:41 ,1015.1 ,2020-03-02 01:03 ,16.2 ,19.7 ,2020-03-02 13:45 ,14.4 ,2020-03-02 19:07 ,10.3 ,68 ,56 ,2020-03-02 13:45 ,5.6 ,70 ,14.6 ,60 ,2020-03-02 04:46 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,2.3 ,19.8 ,12.23 ,17.0 ,3.5 ,6 ,2020-03-02 14:00 ,8.2 
03,1017.4 ,1021.7 ,1020.0 ,2020-03-03 09:38 ,1014.3 ,2020-03-03 14:47 ,16.7 ,22.4 ,2020-03-03 12:26 ,13.8 ,2020-03-03 06:23 ,10.9 ,69 ,54 ,2020-03-03 12:04 ,3.4 ,60 ,11.6 ,60 ,2020-03-03 02:03 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.8 ,58.5 ,15.55 ,18.0 ,3.6 ,8 ,2020-03-03 13:00 ,5.7 
04,1017.6 ,1021.9 ,1020.1 ,2020-03-04 22:38 ,1015.1 ,2020-03-04 14:55 ,15.0 ,17.3 ,2020-03-04 13:01 ,12.1 ,2020-03-04 23:15 ,11.1 ,77 ,71 ,2020-03-04 15:22 ,4.1 ,60 ,15.3 ,60 ,2020-03-04 23:57 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,2.64 ,17.5 ,-1.3 ,3 ,2020-03-04 13:00 ,10.0 
05,1019.4 ,1023.8 ,1021.8 ,2020-03-05 10:00 ,1017.5 ,2020-03-05 16:11 ,12.8 ,17.5 ,2020-03-05 14:52 ,10.1 ,2020-03-05 04:29 ,8.2 ,74 ,60 ,2020-03-05 13:57 ,5.1 ,50 ,16.7 ,20 ,2020-03-05 07:06 ,5.0 ,4.0 ,0.5 ,2020-03-05 00:44 ,1.5 ,2020-03-05 00:40 ,1.7 ,14.6 ,11.68 ,16.5 ,2.4 ,7 ,2020-03-05 13:00 ,7.8 
06,1016.1 ,1020.5 ,1019.7 ,2020-03-06 00:01 ,1013.0 ,2020-03-06 16:31 ,15.3 ,21.4 ,2020-03-06 13:57 ,11.4 ,2020-03-06 02:30 ,10.2 ,72 ,57 ,2020-03-06 13:57 ,2.7 ,30 ,9.6 ,60 ,2020-03-06 00:06 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.1 ,26.5 ,12.95 ,16.2 ,2.1 ,8 ,2020-03-06 13:00 ,7.3 
07,1011.6 ,1015.9 ,1015.2 ,2020-03-07 00:13 ,1008.4 ,2020-03-07 16:03 ,17.7 ,22.4 ,2020-03-07 13:25 ,14.3 ,2020-03-07 06:13 ,14.1 ,80 ,65 ,2020-03-07 12:37 ,1.6 ,10 ,6.2 ,10 ,2020-03-07 17:15 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.0 ,76.8 ,16.38 ,14.7 ,3.3 ,8 ,2020-03-07 13:00 ,5.2 
08,1010.0 ,1014.2 ,1012.5 ,2020-03-08 09:36 ,1007.4 ,2020-03-08 16:48 ,18.0 ,22.5 ,2020-03-08 13:19 ,16.1 ,2020-03-08 20:23 ,14.8 ,82 ,69 ,2020-03-08 13:18 ,2.8 ,60 ,8.6 ,50 ,2020-03-08 07:56 ,0.2 ,1.0 ,0.1 ,2020-03-08 19:40 ,0.2 ,2020-03-08 19:30 ,0.1 ,0.9 ,6.85 ,5.1 ,-1.4 ,5 ,2020-03-08 14:00 ,9.7 
09,1005.9 ,1010.1 ,1009.3 ,2020-03-09 00:01 ,1002.3 ,2020-03-09 15:22 ,19.0 ,25.4 ,2020-03-09 13:33 ,15.9 ,2020-03-09 00:57 ,16.4 ,85 ,69 ,2020-03-09 13:33 ,2.2 ,230 ,8.8 ,210 ,2020-03-09 20:04 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.7 ,31.4 ,12.25 ,5.8 ,-2.3 ,8 ,2020-03-09 13:00 ,7.2 
10,1011.4 ,1015.6 ,1016.9 ,2020-03-10 23:00 ,1006.5 ,2020-03-10 00:48 ,19.2 ,26.7 ,2020-03-10 12:56 ,16.1 ,2020-03-10 19:56 ,15.5 ,81 ,50 ,2020-03-10 12:55 ,3.9 ,70 ,16.0 ,70 ,2020-03-10 17:26 ,6.2 ,4.6 ,4.6 ,2020-03-10 02:20 ,6.0 ,2020-03-10 01:48 ,6.1 ,51.7 ,16.19 ,14.8 ,4.5 ,9 ,2020-03-10 13:00 ,6.3 
11,1017.1 ,1021.4 ,1019.5 ,2020-03-11 09:30 ,1015.3 ,2020-03-11 18:29 ,17.2 ,22.2 ,2020-03-11 13:26 ,15.3 ,2020-03-11 06:18 ,9.7 ,62 ,47 ,2020-03-11 12:27 ,4.5 ,70 ,14.2 ,60 ,2020-03-11 10:13 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.5 ,38.1 ,14.90 ,21.7 ,-3.6 ,8 ,2020-03-11 13:00 ,8.5 
12,1015.0 ,1019.4 ,1017.4 ,2020-03-12 09:36 ,1012.5 ,2020-03-12 16:06 ,14.5 ,15.8 ,2020-03-12 00:01 ,13.3 ,2020-03-12 01:40 ,12.5 ,88 ,64 ,2020-03-12 00:05 ,2.5 ,30 ,9.3 ,20 ,2020-03-12 00:49 ,2.2 ,10.2 ,0.2 ,2020-03-12 01:21 ,0.6 ,2020-03-12 09:20 ,0.0 ,0.0 ,0.44 ,4.6 ,-0.1 ,1 ,2020-03-12 13:00 ,10.0 
13,1013.8 ,1018.1 ,1015.9 ,2020-03-13 09:44 ,1011.5 ,2020-03-13 16:02 ,17.4 ,20.9 ,2020-03-13 13:38 ,15.7 ,2020-03-13 00:01 ,15.4 ,88 ,78 ,2020-03-13 13:37 ,1.8 ,70 ,10.6 ,90 ,2020-03-13 23:01 ,9.8 ,1.7 ,2.3 ,2020-03-13 22:47 ,5.5 ,2020-03-13 22:20 ,0.3 ,2.5 ,7.44 ,5.7 ,-1.4 ,6 ,2020-03-13 14:00 ,10.0 
14,1016.3 ,1020.6 ,1018.8 ,2020-03-14 22:59 ,1014.2 ,2020-03-14 02:14 ,16.0 ,20.5 ,2020-03-14 14:00 ,14.3 ,2020-03-14 23:25 ,12.4 ,79 ,63 ,2020-03-14 13:55 ,4.3 ,60 ,12.7 ,90 ,2020-03-14 00:46 ,4.9 ,8.7 ,2.4 ,2020-03-14 00:16 ,3.4 ,2020-03-14 00:01 ,1.2 ,10.1 ,10.23 ,8.7 ,3.2 ,6 ,2020-03-14 14:00 ,9.2 
