ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,915.6 ,1475.8 ,917.5 ,2013-08-01 00:02 ,913.4 ,2013-08-01 18:17 ,24.9 ,29.2 ,2013-08-01 12:01 ,21.9 ,2013-08-01 22:12 ,18.3 ,67 ,54 ,2013-08-01 11:59 ,5.2 ,190 ,23.6 ,180 ,2013-08-01 17:47 ,0.5 ,0.5 ,0.5 ,2013-08-01 23:22 ,0.5 ,2013-08-01 23:22 ,6.0 ,45.3 ,20.23 ,23.3 ,-2.0 ,12 ,2013-08-01 12:00 ,3.8 
02,919.7 ,1513.2 ,923.2 ,2013-08-02 22:04 ,914.7 ,2013-08-02 00:19 ,23.7 ,27.2 ,2013-08-02 11:38 ,21.4 ,2013-08-02 05:35 ,20.4 ,82 ,73 ,2013-08-02 00:22 ,2.5 ,350 ,18.0 ,190 ,2013-08-02 00:26 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.6 ,12.1 ,11.09 ,18.7 ,3.0 ,7 ,2013-08-02 12:00 ,7.3 
03,923.1 ,1546.3 ,924.0 ,2013-08-03 10:04 ,922.0 ,2013-08-03 02:17 ,24.8 ,28.4 ,2013-08-03 09:24 ,21.5 ,2013-08-03 02:15 ,20.7 ,78 ,65 ,2013-08-03 23:29 ,1.3 ,350 ,7.3 ,300 ,2013-08-03 03:46 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.3 ,40.1 ,17.43 ,15.7 ,3.2 ,9 ,2013-08-03 13:00 ,4.5 
04,921.5 ,1533.4 ,923.3 ,2013-08-04 00:01 ,919.7 ,2013-08-04 16:46 ,25.6 ,31.2 ,2013-08-04 12:56 ,22.2 ,2013-08-04 01:25 ,20.8 ,75 ,61 ,2013-08-04 12:33 ,0.9 ,180 ,5.5 ,360 ,2013-08-04 13:13 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.7 ,73.5 ,24.96 ,21.7 ,2.8 ,13 ,2013-08-04 13:00 ,1.7 
05,919.6 ,1515.1 ,921.0 ,2013-08-05 07:51 ,918.4 ,2013-08-05 16:07 ,25.2 ,30.7 ,2013-08-05 11:58 ,21.3 ,2013-08-05 04:58 ,20.7 ,77 ,60 ,2013-08-05 11:56 ,1.3 ,350 ,7.6 ,310 ,2013-08-05 08:31 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.7 ,81.2 ,25.02 ,16.2 ,4.2 ,12 ,2013-08-05 12:00 ,4.7 
06,920.2 ,1519.8 ,921.8 ,2013-08-06 21:45 ,918.4 ,2013-08-06 02:01 ,24.5 ,27.8 ,2013-08-06 11:05 ,22.5 ,2013-08-06 00:14 ,22.0 ,86 ,75 ,2013-08-06 20:27 ,1.1 ,360 ,6.4 ,350 ,2013-08-06 14:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,2.4 ,18.2 ,11.82 ,9.8 ,3.1 ,6 ,2013-08-06 14:00 ,8.2 
07,921.1 ,1527.9 ,922.4 ,2013-08-07 08:22 ,920.0 ,2013-08-07 15:41 ,24.9 ,28.4 ,2013-08-07 14:09 ,22.6 ,2013-08-07 23:13 ,22.7 ,88 ,77 ,2013-08-07 16:34 ,1.4 ,360 ,6.6 ,350 ,2013-08-07 13:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.4 ,25.9 ,13.43 ,8.7 ,3.6 ,6 ,2013-08-07 14:00 ,9.8 
08,920.2 ,1521.2 ,921.2 ,2013-08-08 10:15 ,919.2 ,2013-08-08 17:03 ,25.8 ,30.5 ,2013-08-08 12:50 ,22.8 ,2013-08-08 03:57 ,20.5 ,73 ,62 ,2013-08-08 12:04 ,1.5 ,180 ,12.4 ,350 ,2013-08-08 01:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,82.3 ,25.09 ,22.3 ,4.0 ,10 ,2013-08-08 11:00 ,0.7 
09,919.1 ,1511.1 ,920.2 ,2013-08-09 22:10 ,917.9 ,2013-08-09 16:13 ,25.5 ,30.6 ,2013-08-09 10:08 ,22.1 ,2013-08-09 06:10 ,20.8 ,76 ,61 ,2013-08-09 19:59 ,1.5 ,350 ,7.8 ,360 ,2013-08-09 12:45 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.0 ,61.1 ,23.18 ,17.2 ,5.1 ,9 ,2013-08-09 14:00 ,4.0 
10,919.8 ,1514.6 ,921.0 ,2013-08-10 22:41 ,918.6 ,2013-08-10 03:43 ,24.1 ,27.8 ,2013-08-10 13:30 ,21.1 ,2013-08-10 03:18 ,20.5 ,80 ,65 ,2013-08-10 01:12 ,2.0 ,360 ,8.7 ,180 ,2013-08-10 23:29 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.5 ,34.4 ,14.89 ,14.5 ,3.5 ,6 ,2013-08-10 12:00 ,4.3 
