ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1022.8 ,1023.2 ,1024.4 ,2016-03-01 09:32 ,1020.9 ,2016-03-01 15:56 ,19.3 ,22.2 ,2016-03-01 14:46 ,16.0 ,2016-03-01 06:05 ,12.4 ,65 ,60 ,2016-03-01 12:44 ,2.0 ,280 ,7.4 ,280 ,2016-03-01 13:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.1 ,86.9 ,20.59 ,7.3 ,4.6 ,8 ,2016-03-01 13:00 ,1.3 
02,1022.5 ,1022.9 ,1024.3 ,2016-03-02 09:24 ,1020.8 ,2016-03-02 15:04 ,20.0 ,23.2 ,2016-03-02 14:37 ,16.8 ,2016-03-02 05:02 ,13.1 ,65 ,55 ,2016-03-02 21:56 ,2.0 ,50 ,7.2 ,300 ,2016-03-02 14:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.8 ,67.0 ,18.06 ,8.3 ,3.8 ,6 ,2016-03-02 13:00 ,5.0 
03,1020.2 ,1020.6 ,1022.5 ,2016-03-03 08:39 ,1018.0 ,2016-03-03 15:28 ,21.0 ,24.1 ,2016-03-03 12:35 ,17.1 ,2016-03-03 05:33 ,13.7 ,63 ,52 ,2016-03-03 10:36 ,1.9 ,310 ,6.5 ,300 ,2016-03-03 15:00 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.3 ,11.1 ,10.02 ,5.5 ,2.2 ,4 ,2016-03-03 13:00 ,7.3 
04,1017.4 ,1017.8 ,1019.3 ,2016-03-04 00:01 ,1015.1 ,2016-03-04 15:33 ,22.7 ,25.9 ,2016-03-04 12:51 ,18.8 ,2016-03-04 05:59 ,15.7 ,65 ,56 ,2016-03-04 17:53 ,1.4 ,310 ,6.6 ,300 ,2016-03-04 14:27 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,2.1 ,18.0 ,11.28 ,3.5 ,2.5 ,5 ,2016-03-04 12:00 ,9.7 
05,1015.3 ,1015.7 ,1017.1 ,2016-03-05 07:33 ,1012.6 ,2016-03-05 15:57 ,23.3 ,26.3 ,2016-03-05 13:16 ,19.5 ,2016-03-05 06:04 ,17.9 ,72 ,64 ,2016-03-05 14:44 ,1.4 ,270 ,5.9 ,290 ,2016-03-05 18:24 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.8 ,58.1 ,14.86 ,4.5 ,3.1 ,7 ,2016-03-05 12:00 ,7.2 
06,1014.3 ,1014.7 ,1016.1 ,2016-03-06 08:50 ,1012.4 ,2016-03-06 15:48 ,24.5 ,27.7 ,2016-03-06 14:02 ,21.7 ,2016-03-06 06:09 ,18.5 ,70 ,57 ,2016-03-06 18:08 ,2.0 ,310 ,8.1 ,320 ,2016-03-06 15:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.4 ,71.6 ,17.22 ,8.0 ,3.8 ,6 ,2016-03-06 13:00 ,5.8 
07,1014.4 ,1014.8 ,1016.4 ,2016-03-07 10:44 ,1012.7 ,2016-03-07 16:06 ,23.8 ,26.4 ,2016-03-07 11:53 ,20.3 ,2016-03-07 05:57 ,19.4 ,76 ,70 ,2016-03-07 09:37 ,1.4 ,270 ,5.1 ,260 ,2016-03-07 14:23 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.1 ,77.5 ,17.00 ,5.7 ,3.4 ,6 ,2016-03-07 13:00 ,5.3 
08,1012.4 ,1012.8 ,1014.9 ,2016-03-08 08:08 ,1009.6 ,2016-03-08 15:11 ,25.1 ,27.6 ,2016-03-08 15:00 ,22.5 ,2016-03-08 06:38 ,20.7 ,77 ,68 ,2016-03-08 15:15 ,2.2 ,180 ,9.4 ,170 ,2016-03-08 13:29 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.3 ,79.0 ,16.95 ,8.8 ,3.7 ,6 ,2016-03-08 13:00 ,3.3 
09,1012.3 ,1012.7 ,1014.8 ,2016-03-09 21:48 ,1010.8 ,2016-03-09 03:30 ,24.6 ,27.6 ,2016-03-09 11:03 ,22.5 ,2016-03-09 23:18 ,20.1 ,76 ,63 ,2016-03-09 08:14 ,2.1 ,290 ,7.5 ,300 ,2016-03-09 14:27 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.8 ,66.1 ,16.04 ,7.8 ,3.8 ,7 ,2016-03-09 12:00 ,5.8 
10,1016.0 ,1016.4 ,1019.6 ,2016-03-10 23:57 ,1013.9 ,2016-03-10 03:37 ,19.3 ,23.4 ,2016-03-10 09:34 ,14.0 ,2016-03-10 23:24 ,15.1 ,77 ,68 ,2016-03-10 12:57 ,2.6 ,360 ,10.5 ,20 ,2016-03-10 15:58 ,7.0 ,2.9 ,2.0 ,2016-03-10 22:53 ,4.5 ,2016-03-10 22:22 ,0.3 ,2.5 ,5.43 ,4.3 ,-0.8 ,2 ,2016-03-10 11:00 ,6.5 
11,1019.1 ,1019.5 ,1020.9 ,2016-03-11 10:40 ,1017.3 ,2016-03-11 02:46 ,16.0 ,18.5 ,2016-03-11 15:27 ,13.3 ,2016-03-11 04:51 ,13.0 ,82 ,78 ,2016-03-11 13:33 ,2.0 ,350 ,7.5 ,330 ,2016-03-11 00:07 ,6.0 ,5.2 ,1.0 ,2016-03-11 04:01 ,3.0 ,2016-03-11 04:30 ,0.0 ,0.0 ,3.64 ,4.3 ,0.9 ,3 ,2016-03-11 12:00 ,9.8 
